date,mean_temp_c,precipitation_mm,streamflow_cms,precip_lag1,precip_3day,precip_7day,temp_3day_mean,temp_7day_mean,streamflow_lag1,streamflow_lag3,streamflow_7day_mean,month,day_of_year,target_next_day_streamflow
2020-03-07,1.2,0.8,44.1,0.0,28.200000000000003,43.0,2.9333333333333336,3.757142857142857,50.0,47.3,50.15714285714286,3,67,39.5
2020-03-08,3.4,0.0,39.5,0.8,0.8000000000000036,43.0,3.0,3.9857142857142853,44.1,48.8,47.75714285714285,3,68,37.0
2020-03-09,3.0,0.0,37.0,0.0,0.8000000000000036,36.4,2.533333333333333,3.8285714285714287,39.5,50.0,45.771428571428565,3,69,37.6
2020-03-10,1.8,32.8,37.6,0.0,32.8,61.5,2.733333333333333,3.271428571428572,37.0,44.1,44.41428571428571,3,70,37.8
2020-03-11,6.1,4.0,37.8,32.8,36.8,65.0,3.633333333333333,3.3,37.6,39.5,43.471428571428575,3,71,34.9
2020-03-12,2.6,0.0,34.9,4.0,36.8,37.6,3.5,3.2142857142857144,37.8,37.0,42.114285714285714,3,72,32.0
2020-03-13,3.9,0.4,32.0,0.0,4.4,38.0,4.199999999999999,3.142857142857143,34.9,37.6,40.128571428571426,3,73,28.9
2020-03-14,0.0,3.9,28.9,0.4,4.3,41.1,2.1666666666666665,2.971428571428571,32.0,37.8,37.55714285714286,3,74,28.9
2020-03-15,4.4,2.3,28.9,3.9,6.6,43.400000000000006,2.766666666666667,3.1142857142857143,28.9,34.9,35.385714285714286,3,75,30.7
2020-03-16,8.1,0.0,30.7,2.3,6.199999999999999,43.400000000000006,4.166666666666667,3.8428571428571425,28.9,32.0,33.871428571428574,3,76,29.5
2020-03-17,6.5,0.0,29.5,0.0,2.3,10.600000000000007,6.333333333333333,4.514285714285714,30.7,28.9,32.97142857142857,3,77,30.2
2020-03-18,8.1,0.0,30.2,0.0,0.0,6.600000000000007,7.566666666666666,4.8,29.5,28.9,31.814285714285713,3,78,32.1
2020-03-19,6.7,0.0,32.1,0.0,0.0,6.600000000000007,7.1000000000000005,5.385714285714285,30.2,30.7,30.728571428571424,3,79,35.1
2020-03-20,6.5,0.0,35.1,0.0,0.0,6.200000000000006,7.1000000000000005,5.757142857142857,32.1,29.5,30.32857142857143,3,80,39.8
2020-03-21,6.7,0.0,39.8,0.0,0.0,2.300000000000007,6.633333333333333,6.714285714285714,35.1,30.2,30.771428571428572,3,81,46.2
2020-03-22,5.6,0.0,46.2,0.0,0.0,0.0,6.266666666666667,6.885714285714286,39.8,32.1,32.32857142857143,3,82,47.3
2020-03-23,7.4,4.7,47.3,0.0,4.7,4.700000000000007,6.566666666666667,6.785714285714286,46.2,35.1,34.8,3,83,44.8
2020-03-24,6.4,3.5,44.8,4.7,8.2,8.200000000000006,6.466666666666666,6.771428571428571,47.3,39.8,37.17142857142857,3,84,41.5
2020-03-25,6.1,0.0,41.5,3.5,8.2,8.200000000000006,6.633333333333333,6.485714285714286,44.8,46.2,39.357142857142854,3,85,40.0
2020-03-26,3.2,0.2,40.0,0.0,3.7,8.400000000000007,5.233333333333333,5.985714285714287,41.5,47.3,40.971428571428575,3,86,39.4
2020-03-27,6.7,2.9,39.4,0.2,3.1,11.300000000000008,5.333333333333333,6.014285714285714,40.0,44.8,42.1,3,87,46.8
